booking_id,traveler_id,booking_date,trip_type,flight_id,seat_class,passenger_count,hotel_id,room_type,check_in,check_out,nights,total_amount_inr,booking_status,payment_status
BK4021,TR1004,2026-05-01,Flight+Hotel,FL2042,Premium Economy,3,HT3050,Standard,2026-05-14,2026-05-17,3,193425,Confirmed,Paid
BK4022,TR1009,2026-01-02,Flight+Hotel,FL2044,Premium Economy,1,HT3035,Standard,2026-02-19,2026-02-22,3,87664,Cancelled,Refunded
BK4023,TR1022,2026-04-06,Flight+Hotel,FL2106,Business,2,HT3056,Standard,2026-05-22,2026-05-28,6,124845,Confirmed,Paid
BK4024,TR1028,2026-04-11,Flight+Hotel,FL2114,Economy,2,HT3006,Suite,2026-04-29,2026-05-05,6,208269,Confirmed,Paid
BK4025,TR1034,2026-01-23,Flight+Hotel,FL2109,Premium Economy,4,HT3012,Standard,2026-02-08,2026-02-13,5,133727,Confirmed,Paid
BK4026,TR1016,2025-12-29,Flight+Hotel,FL2005,Business,1,HT3039,Standard,2026-02-20,2026-02-25,5,157390,Confirmed,Paid
BK4027,TR1001,2026-03-01,HotelOnly,,,3,HT3040,Deluxe,2026-04-29,2026-05-04,5,125700,Confirmed,Paid
BK4028,TR1017,2026-01-15,HotelOnly,,,3,HT3029,Suite,2026-02-18,2026-02-20,2,8323,Confirmed,Paid
BK4029,TR1018,2026-04-04,FlightOnly,FL2015,Business,2,,,,,0,87309,Confirmed,Paid
BK4030,TR1015,2026-01-18,Flight+Hotel,FL2108,Business,2,HT3052,Standard,2026-02-23,2026-02-28,5,178402,Confirmed,Paid
BK4031,TR1029,2026-03-29,Flight+Hotel,FL2068,Economy,3,HT3030,Deluxe,2026-05-11,2026-05-18,7,160521,Confirmed,Paid
BK4032,TR1026,2026-01-04,Flight+Hotel,FL2115,Premium Economy,4,HT3060,Suite,2026-02-08,2026-02-14,6,243685,Cancelled,Unpaid
BK4033,TR1010,2026-02-10,FlightOnly,FL2021,Premium Economy,1,,,,,0,32553,Confirmed,Paid
BK4034,TR1028,2026-03-03,Flight+Hotel,FL2103,Business,1,HT3015,Standard,2026-04-25,2026-04-30,5,62110,Confirmed,Paid
BK4035,TR1002,2026-02-11,Flight+Hotel,FL2088,Business,4,HT3039,Standard,2026-04-04,2026-04-11,7,99609,Completed,Paid
BK4036,TR1040,2026-01-31,Flight+Hotel,FL2044,Premium Economy,1,HT3005,Deluxe,2026-02-19,2026-02-26,7,77094,Confirmed,Paid
BK4037,TR1011,2026-02-09,Flight+Hotel,FL2059,Business,3,HT3016,Suite,2026-02-19,2026-02-21,2,127454,Confirmed,Paid
BK4038,TR1007,2025-12-14,Flight+Hotel,FL2115,Business,1,HT3031,Deluxe,2026-02-07,2026-02-14,7,88092,Confirmed,Paid
BK4039,TR1029,2026-02-05,HotelOnly,,,3,HT3024,Suite,2026-03-26,2026-03-29,3,84099,Cancelled,Refunded
BK4040,TR1020,2026-02-13,Flight+Hotel,FL2013,Economy,2,HT3013,Standard,2026-03-07,2026-03-09,2,99716,Confirmed,Paid
BK4041,TR1033,2026-02-28,Flight+Hotel,FL2066,Business,3,HT3003,Deluxe,2026-03-30,2026-04-01,2,150164,Confirmed,Paid
BK4042,TR1021,2026-03-30,Flight+Hotel,FL2067,Business,3,HT3032,Deluxe,2026-04-08,2026-04-13,5,256727,Confirmed,Paid
BK4043,TR1023,2026-01-11,FlightOnly,FL2014,Business,4,,,,,0,281811,Confirmed,Paid
BK4044,TR1005,2026-04-08,Flight+Hotel,FL2103,Premium Economy,2,HT3032,Deluxe,2026-04-25,2026-05-02,7,202439,Confirmed,Paid
BK4045,TR1010,2025-12-29,Flight+Hotel,FL2120,Business,3,HT3006,Standard,2026-02-07,2026-02-14,7,190090,Confirmed,Paid
BK4046,TR1040,2026-02-01,Flight+Hotel,FL2019,Economy,4,HT3002,Deluxe,2026-02-12,2026-02-16,4,152347,Confirmed,Paid
BK4047,TR1011,2026-02-05,Flight+Hotel,FL2104,Economy,3,HT3043,Suite,2026-02-28,2026-03-07,7,298846,Confirmed,Paid
BK4048,TR1002,2026-02-04,Flight+Hotel,FL2075,Business,3,HT3016,Suite,2026-02-18,2026-02-22,4,315873,Cancelled,Unpaid
BK4049,TR1037,2026-05-02,FlightOnly,FL2011,Business,2,,,,,0,215160,Confirmed,Paid
BK4050,TR1017,2026-01-25,Flight+Hotel,FL2077,Business,4,HT3041,Standard,2026-03-21,2026-03-28,7,315130,Confirmed,Paid
BK4051,TR1024,2026-02-20,Flight+Hotel,FL2051,Premium Economy,3,HT3034,Standard,2026-03-02,2026-03-05,3,48882,Confirmed,Paid
BK4052,TR1021,2026-02-25,FlightOnly,FL2111,Business,1,,,,,0,85927,Confirmed,Paid
BK4053,TR1012,2026-02-04,Flight+Hotel,FL2097,Economy,4,HT3029,Standard,2026-02-17,2026-02-22,5,200320,Completed,Paid
BK4054,TR1038,2026-02-04,Flight+Hotel,FL2087,Economy,3,HT3058,Standard,2026-03-05,2026-03-09,4,131793,Confirmed,Paid
BK4055,TR1017,2026-01-02,Flight+Hotel,FL2116,Business,1,HT3010,Deluxe,2026-02-22,2026-02-25,3,163832,Confirmed,Paid
BK4056,TR1005,2026-03-03,Flight+Hotel,FL2110,Premium Economy,2,HT3053,Deluxe,2026-03-26,2026-03-27,1,94624,Confirmed,Paid
BK4057,TR1005,2026-01-01,FlightOnly,FL2051,Economy,3,,,,,0,19458,Cancelled,Unpaid
BK4058,TR1007,2026-01-16,FlightOnly,FL2044,Economy,1,,,,,0,37728,Confirmed,Paid
BK4059,TR1008,2026-02-19,Flight+Hotel,FL2040,Premium Economy,4,HT3056,Suite,2026-03-27,2026-04-02,6,111018,Confirmed,Paid
BK4060,TR1025,2026-05-12,Flight+Hotel,FL2003,Business,1,HT3058,Standard,2026-06-02,2026-06-05,3,116862,Completed,Paid
BK4061,TR1006,2026-02-20,HotelOnly,,,1,HT3011,Suite,2026-04-06,2026-04-12,6,69195,Confirmed,Paid
BK4062,TR1006,2026-04-04,FlightOnly,FL2111,Business,4,,,,,0,343710,Confirmed,Paid
BK4063,TR1006,2026-05-21,Flight+Hotel,FL2119,Business,2,HT3009,Standard,2026-06-01,2026-06-07,6,197561,Confirmed,Paid
BK4064,TR1016,2026-02-07,Flight+Hotel,FL2088,Premium Economy,2,HT3039,Standard,2026-04-06,2026-04-09,3,37415,Confirmed,Paid
BK4065,TR1012,2026-03-13,Flight+Hotel,FL2100,Premium Economy,4,HT3018,Suite,2026-05-04,2026-05-07,3,146334,Confirmed,Paid
BK4066,TR1019,2026-01-18,FlightOnly,FL2059,Premium Economy,1,,,,,0,11492,Confirmed,Paid
BK4067,TR1024,2026-02-12,FlightOnly,FL2064,Economy,1,,,,,0,40232,Confirmed,Paid
BK4068,TR1001,2026-02-07,FlightOnly,FL2055,Economy,4,,,,,0,44108,Completed,Paid
BK4069,TR1031,2026-02-09,Flight+Hotel,FL2046,Economy,4,HT3029,Deluxe,2026-03-31,2026-04-06,6,170068,Confirmed,Paid
BK4070,TR1038,2026-01-31,HotelOnly,,,1,HT3022,Suite,2026-02-09,2026-02-12,3,48276,Completed,Paid
BK4071,TR1011,2026-04-08,Flight+Hotel,FL2058,Premium Economy,4,HT3016,Deluxe,2026-04-15,2026-04-16,1,286926,Confirmed,Paid
BK4072,TR1010,2026-03-21,HotelOnly,,,3,HT3011,Suite,2026-04-13,2026-04-20,7,80728,Confirmed,Paid
BK4073,TR1010,2026-03-29,Flight+Hotel,FL2047,Economy,2,HT3005,Standard,2026-05-20,2026-05-26,6,25738,Completed,Paid
BK4074,TR1004,2025-12-19,HotelOnly,,,3,HT3018,Suite,2026-02-15,2026-02-16,1,6881,Confirmed,Paid
BK4075,TR1034,2026-02-08,FlightOnly,FL2054,Economy,4,,,,,0,184352,Confirmed,Paid
BK4076,TR1035,2026-03-02,FlightOnly,FL2043,Premium Economy,3,,,,,0,178771,Confirmed,Paid
BK4077,TR1040,2026-04-11,Flight+Hotel,FL2022,Premium Economy,1,HT3008,Suite,2026-05-09,2026-05-14,5,127345,Completed,Paid
BK4078,TR1034,2026-01-31,Flight+Hotel,FL2040,Premium Economy,3,HT3025,Deluxe,2026-03-27,2026-04-02,6,199828,Confirmed,Paid
BK4079,TR1018,2026-02-11,FlightOnly,FL2076,Economy,2,,,,,0,71542,Confirmed,Paid
BK4080,TR1034,2026-03-30,Flight+Hotel,FL2006,Premium Economy,3,HT3006,Deluxe,2026-05-21,2026-05-25,4,219257,Cancelled,Refunded
BK4081,TR1002,2026-03-23,HotelOnly,,,1,HT3029,Deluxe,2026-05-13,2026-05-18,5,14450,Confirmed,Paid
BK4082,TR1032,2026-03-18,HotelOnly,,,3,HT3053,Standard,2026-03-26,2026-03-29,3,56949,Completed,Paid
BK4083,TR1027,2026-04-23,Flight+Hotel,FL2094,Economy,1,HT3038,Standard,2026-05-12,2026-05-16,4,80851,Confirmed,Paid
BK4084,TR1024,2026-01-19,FlightOnly,FL2028,Business,1,,,,,0,87940,Confirmed,Paid
BK4085,TR1028,2026-03-17,Flight+Hotel,FL2035,Economy,2,HT3029,Deluxe,2026-04-04,2026-04-08,4,54260,Confirmed,Paid
BK4086,TR1013,2026-03-11,FlightOnly,FL2002,Premium Economy,4,,,,,0,22582,Confirmed,Paid
BK4087,TR1036,2026-04-14,FlightOnly,FL2043,Economy,4,,,,,0,176564,Confirmed,Paid
BK4088,TR1025,2026-01-15,HotelOnly,,,1,HT3043,Deluxe,2026-02-15,2026-02-19,4,93015,Confirmed,Paid
BK4089,TR1005,2026-04-17,Flight+Hotel,FL2041,Premium Economy,1,HT3025,Suite,2026-05-23,2026-05-29,6,273497,Confirmed,Paid
BK4090,TR1027,2026-01-10,HotelOnly,,,4,HT3005,Standard,2026-02-20,2026-02-23,3,8970,Confirmed,Paid
